,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone
0,0,2,1,28,1,0,18,2,2,1,1,2,0,0
1,1,0,0,51,1,0,207,0,0,2,0,0,1,0
2,1,2,0,34,0,0,41,2,2,2,0,2,1,1
3,1,0,0,47,1,0,189,2,0,2,0,2,1,0
4,0,2,1,47,0,0,43,2,2,1,1,2,0,1
5,0,2,1,36,0,0,51,1,2,1,1,1,0,1
6,0,0,1,69,0,0,186,2,0,1,1,2,0,1
7,0,2,1,6,3,1,124,2,2,0,0,2,0,0
8,1,2,0,35,0,2,74,2,2,2,0,2,1,0
9,1,1,0,18,1,0,154,0,1,0,0,0,1,0
10,1,2,0,8,1,1,110,2,2,0,0,2,1,0
11,1,0,0,74,0,0,143,2,0,2,0,2,1,1
12,0,2,1,25,0,0,43,2,2,1,1,2,0,1
13,0,2,1,52,1,5,158,2,2,1,1,2,0,0
14,0,2,0,18,0,0,36,2,2,0,0,2,0,1
15,1,1,0,70,0,0,108,2,1,2,0,2,1,1
16,0,2,1,6,4,1,151,1,2,0,0,1,0,0
17,1,1,1,36,0,0,85,2,1,1,1,2,1,1
18,0,2,0,41,1,0,113,2,2,2,0,2,0,0
19,1,2,0,36,0,0,16,0,2,2,0,0,1,1
20,0,1,1,47,0,0,138,2,1,1,1,2,0,1
21,1,1,1,45,0,0,85,2,1,1,1,2,1,1
22,1,2,0,20,0,0,42,1,2,0,0,1,1,1
23,1,0,1,36,0,0,168,2,0,1,1,2,1,1
24,0,2,0,12,3,1,124,2,2,0,0,2,0,0
25,1,2,0,51,1,5,159,2,2,2,0,2,1,0
26,0,2,1,36,0,0,16,0,2,1,1,0,0,1
27,0,0,1,24,3,2,246,2,0,1,1,2,0,0
28,1,2,0,36,0,0,38,1,2,2,0,1,1,1
29,0,2,1,36,0,0,40,2,2,1,1,2,0,1
30,0,0,1,53,0,0,145,0,0,1,1,0,0,1
31,1,0,0,36,1,0,236,0,0,2,0,0,1,0
32,1,2,0,36,0,0,30,1,2,2,0,1,1,1
33,0,1,1,82,0,0,72,2,1,1,1,2,0,1
34,0,0,1,36,1,0,220,0,0,1,1,0,0,0
35,0,0,1,56,1,0,187,2,0,1,1,2,0,0
36,1,2,1,36,0,0,17,0,2,1,1,0,1,1
37,0,2,1,27,0,0,43,2,2,1,1,2,0,1
38,0,2,0,23,2,0,113,2,2,2,0,2,0,0
39,1,2,0,18,1,0,75,0,2,0,0,0,1,0
40,0,2,0,53,1,0,62,2,2,2,0,2,0,0
41,0,1,0,35,1,0,123,2,1,2,0,2,0,0
